iter	Logloss
0	0.5020349709
1	0.4411899105
2	0.4168881118
3	0.4076356014
4	0.4048311137
5	0.4020464471
6	0.4014221471
7	0.4007136106
8	0.4003109647
9	0.4003061464
10	0.4002887751
11	0.4002786627
12	0.4002474396
13	0.4001414428
14	0.4001032143
15	0.4001032064
16	0.400089544
17	0.4000867893
18	0.3998100184
19	0.3996756125
