iter	Passed	Remaining
0	19	361
1	33	305
2	49	280
3	63	255
4	76	229
5	91	213
6	102	190
7	118	177
8	133	162
9	146	146
10	155	127
11	167	111
12	181	97
13	194	83
14	207	69
15	215	53
16	227	40
17	235	26
18	249	13
19	263	0
